Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-28,71.69,73.49,71.34,72.87,72.7,3111100,0.0,0.0
2020-01-29,73.87,74.0,72.53,72.68,72.51,2204800,0.0,0.0
2020-01-30,71.15,73.5,70.6,73.31,73.13,3512500,0.0,0.0
2020-01-31,72.88,73.0,68.69,69.37,69.2,6871500,0.0,0.0
2020-02-03,70.41,72.21,70.32,70.89,70.72,3500800,0.0,0.0
2020-02-04,73.5,74.74,73.24,74.12,73.94,2722000,0.0,0.0
2020-02-05,76.3,76.82,75.21,76.63,76.45,3336200,0.0,0.0
2020-02-06,77.41,77.56,76.61,77.42,77.23,1970600,0.0,0.0
2020-02-07,76.62,77.16,75.78,76.23,76.05,2954500,0.0,0.0
2020-02-10,75.5,77.9,75.48,77.9,77.71,2259300,0.0,0.0
2020-02-11,78.93,79.51,77.91,78.3,78.11,2991300,0.0,0.0
2020-02-12,79.38,79.93,79.08,79.77,79.58,2297200,0.0,0.0
2020-02-13,78.66,80.24,78.43,79.47,79.28,2630100,0.0,0.0
2020-02-14,79.77,79.93,78.88,79.86,79.67,2299400,0.0,0.0
2020-02-18,79.06,79.51,78.15,79.23,79.04,2460300,0.0,0.0
2020-02-19,79.97,80.87,79.73,80.36,80.17,1408000,0.0,0.0
2020-02-20,79.9,80.54,77.0,79.31,79.12,3742700,0.0,0.0
2020-02-21,78.29,78.5,76.24,76.87,76.69,5077600,0.0,0.0
2020-02-24,69.69,71.53,68.38,69.18,69.01,8249400,0.0,0.0
2020-02-25,70.17,70.56,62.26,62.91,62.76,8857900,0.0,0.0
2020-02-26,63.79,66.15,61.69,62.22,62.07,8471300,0.0,0.0
2020-02-27,58.54,61.0,53.73,53.75,53.62,13738200,0.0,0.0
2020-02-28,48.99,53.39,47.25,53.39,53.26,14701600,0.0,0.0
2020-03-02,54.0,59.94,52.07,59.86,59.72,9847100,0.0,0.0
2020-03-03,60.16,62.65,53.19,54.77,54.64,12598400,0.0,0.0
2020-03-04,57.97,61.79,56.45,61.66,61.51,7110400,0.0,0.0
2020-03-05,57.0,59.0,54.02,55.47,55.34,10101200,0.0,0.0
2020-03-06,50.34,53.4,48.72,52.7,52.57,9338700,0.0,0.0
2020-03-09,41.57,45.6,40.0,40.39,40.29,12901800,0.0,0.0
2020-03-10,45.0,46.77,40.05,46.77,46.66,12444700,0.0,0.0
2020-03-11,42.94,43.5,38.18,39.88,39.78,12387500,0.0,0.0
2020-03-12,31.6,36.44,28.3,28.31,28.24,22494900,0.0,0.0
2020-03-13,33.69,36.27,28.88,36.17,36.08,17958200,0.0,0.0
2020-03-16,25.0,30.53,23.25,23.53,23.47,21757500,0.0,0.0
2020-03-17,25.06,28.35,22.77,27.92,27.85,21561200,0.0,0.0
2020-03-18,22.26,25.13,19.7,23.64,23.58,31620100,0.0,0.0
2020-03-19,22.82,25.3,20.9,23.49,23.43,23878100,0.0,0.0
2020-03-20,24.36,24.88,20.2,20.3,20.25,23754200,0.0,0.0
2020-03-23,20.14,20.47,17.51,18.63,18.59,31709200,0.0,0.0
2020-03-24,21.61,23.99,21.5,23.84,23.78,24713700,0.0,0.0
2020-03-25,24.16,27.54,22.66,24.71,24.71,30970300,0.057,0.0
2020-03-26,25.51,29.53,25.4,29.02,29.02,22818600,0.0,0.0
2020-03-27,26.37,28.9,25.62,26.4,26.4,23112700,0.0,0.0
2020-03-30,27.13,29.2,26.47,28.98,28.98,16350600,0.0,0.0
2020-03-31,28.63,29.54,27.17,27.63,27.63,24456600,0.0,0.0
2020-04-01,24.53,25.64,23.23,23.94,23.94,22757200,0.0,0.0
2020-04-02,23.67,25.84,23.47,25.58,25.58,23550600,0.0,0.0
2020-04-03,25.29,26.04,23.59,24.48,24.48,20832600,0.0,0.0
2020-04-06,27.35,30.05,27.0,29.43,29.43,20791500,0.0,0.0
2020-04-07,32.55,32.81,29.39,29.43,29.43,29832000,0.0,0.0
2020-04-08,30.4,32.87,29.61,32.42,32.42,20327600,0.0,0.0
2020-04-09,33.69,34.96,32.92,33.89,33.89,26926600,0.0,0.0
